名字,类型,城市,地区,地点,评分,评分人数,价格
香港青逸酒店(Rambler Oasis Hotel),浪漫情侣,香港,葵青,青衣路1号,4.0,3091.0,349.0
香港风格时尚家庭旅馆(Feng Ge Shi Shang Hotel),地铁周边,香港,油尖旺,九龙尖沙咀弥敦道99-101号海防大厦10楼1005室,4.8,1375.0,307.0
香港海景丝丽酒店(Silka Seaview Hotel),浪漫情侣,香港,油尖旺,"油麻地 上海街268号(268 Shanghai Street, Yau Ma Tei, Kowloon)",4.3,4561.0,410.0
香港中环迷你酒店(Mini Hotel Central),浪漫情侣,香港,中西区,中环雪厂街三十八号,4.0,2406.0,436.0
香港万里香江客栈 (家庭旅馆)(Global Holiday Home),地铁周边,香港,湾仔,铜锣湾利园山道70号凤鸣大厦15楼A室,4.1,681.0,395.0
香港陶庭酒店(The Ten Hotel),地铁周边,香港,九龙城,九龙塘罗福道10号,4.3,686.0,909.0
铜锣阁(Causeway Corner),海滨风光,香港,湾仔,铜锣湾波斯富街18号,4.4,1072.0,756.0
香港珀丽尚品酒店(Le Petit Rosedale Hotel Hong Kong),浪漫情侣,香港,中西区,铜锣湾摩顿台7号,4.5,1181.0,636.0
香港长洲华威酒店(Warwick Hotel Cheung chau),休闲度假,香港,离岛,香港長洲東灣,4.3,1185.0,768.0
香港极栈公寓(Residence G Hong Kong (by Hotel G)),酒店公寓,香港,油尖旺,九龙尖沙咀柯士甸路2-2A号,4.1,259.0,588.0
香港李女士宾馆(家庭旅馆)(MS LI GUEST HOUSE),地铁周边,香港,油尖旺,弥敦道58号美丽都大厦E座5字楼E1室,4.9,7.0,351.0
香港好来酒店(Haolai Motel),地铁周边,香港,其他,尖沙咀金马伦道16号金马大厦4字楼 （顺德霸王鱼头楼上）,4.3,685.0,225.0
香港银矿湾渡假酒店(Silvermine Beach Resort),海滨风光,香港,离岛,香港大屿山梅窝银矿湾D.D.2地段648号,4.2,1230.0,527.0
香港华逸酒店(Rambler Garden Hotel),浪漫情侣,香港,葵青,青衣 青衣路1号,4.0,3031.0,349.0
香港喜悦酒店(家庭旅馆)(Happy Motel),地铁周边,香港,油尖旺,弥敦道242-252号立信大厦10楼F室,4.5,882.0,272.0
香港文化旅馆-翠雅山房(Hong Kong Heritage Lodge),浪漫情侣,香港,葵青,香港九龙青山道800号,4.4,1726.0,423.0
香港君临海域酒店(Gloucester Hotel),浪漫情侣,香港,湾仔,铜锣湾告士打道218号,4.5,2324.0,957.0
香港逸豪酒店(H1 Hotel),浪漫情侣,香港,油尖旺,九龙旺角新填地街423号,4.3,2892.0,498.0
香港MK酒店(Hotel MK),地铁周边,香港,油尖旺,九龙旺角长沙街11号,3.9,3008.0,247.0
香港紫馨家庭旅舍(ZiXin Motel),青年旅舍,香港,油尖旺,尖沙咀弥敦道99-101号海防大厦811,4.6,770.0,189.0
香港怡家酒店(Yi Jia Hotel),地铁周边,香港,油尖旺,香港弥敦道731-733号振宜大厦10字楼AC(九龙商务),3.5,808.0,102.0
香港文苑旅舍(Man Yuen Inn),民宿,香港,其他,旺角亚皆老街83号先施大厦11楼1105室,4.3,790.0,209.0
宜必思香港北角酒店(ibis Hong Kong North Point),海滨风光,香港,东区,北角渣华道138号,4.5,2217.0,484.0
香港富田宾馆(Hong Kong Full Harvest Inn),地铁周边,香港,其他,九龙旺角西洋菜南街14-24号（街交接口荣华大楼）,4.6,343.0,370.0
香港荷里活木的地精品酒店(Hotel Madera Hollywood),地铁周边,香港,中西区,荷里活道53-55號,4.5,197.0,1742.0
香港盛捷维园公寓酒店(Somerset Victoria Park Hongkong),商务出行,香港,东区,铜锣湾电气道118号,4.5,1340.0,581.0
香港仕德福山景酒店(Stanford Hillview Hotel),浪漫情侣,香港,油尖旺,尖沙嘴 天文台道13-17号,4.7,2986.0,581.0
香港馨乐庭尚圜服务公寓(Citadines Mercer Hong Kong),酒店公寓,香港,中西区,上环苏杭街29号,4.6,166.0,2309.0
Y旅舍(Y Loft),商务出行,香港,东区,柴湾道238号青年广场12楼,4.5,1121.0,637.0
香港苹果旅馆(尖沙咀店)(家庭旅馆)(Apple Inn@ TsimShaTsui),地铁周边,香港,油尖旺,香港九龙尖沙海防道55号海防大厦11楼03单元,3.9,1845.0,97.0
逸东轩住寓(香港湾仔峡道店)(Eaton Residences Wan Chai Gap Road),商务出行,香港,湾仔,湾仔峡道3-5号,4.4,240.0,871.0
香港汉仁商务宾馆,地铁周边,香港,其他,弥敦道525-543宝宁大厦A座701-703室油麻地地铁站B1出口旁,4.6,1233.0,350.0
香港金坊宾馆(GOLD PALACE HOTEL),浪漫情侣,香港,其他,香港油尖旺区九龙旺角弥敦道607号新兴大厦22字楼2201室,4.7,436.0,245.0
香港名亭宾馆(Mingting Inn),地铁周边,香港,油尖旺,尖沙咀加拿芬道33-35号发利大厦7/F7室,3.6,82.0,356.0
香港3D龙门客栈(3D inn Dragon),客栈,香港,其他,九龙油尖旺区九龙尖沙咀弥敦道58号美丽都大厦3字楼F2室于13楼C2室登记入住,4.7,218.0,245.0
香港天灏精品酒店(家庭旅舍)(Glory Sky Inn Hotel),地铁周边,香港,油尖旺,尖沙嘴海防道53-55号海防大厦5字楼03室,4.6,1562.0,386.0
香港紫珀酒店(The Perkin Hotel),火车站周边,香港,油尖旺,尖沙咀诺士佛台6号,4.6,578.0,968.0
香港登台酒店(HOTEL STAGE),浪漫情侣,香港,油尖旺,佐敦志和街1号,4.7,962.0,1084.0
香港港湾酒店(Hong Kong Harbor Hotel),其他,香港,南区,香港仔石排湾道47号,3.8,709.0,259.0
香港新时代酒店(家庭旅馆)(New Style Guest House(Phoenix Apartments)),地铁周边,香港,湾仔,铜罗湾利园山道70号凤鸣大厦4字楼A、B庢（前台位于1楼54号室）,3.4,191.0,297.0
香港金涛酒店(家庭旅馆)(Golden Wave Hotel),地铁周边,香港,油尖旺,九龙佐敦道18-24号鸿运大厦3楼C至D室,4.5,1148.0,228.0
香港海都宾馆(Ocean Hotel Family Hotel),地铁周边,香港,油尖旺,尖沙咀弥敦道36-44号重庆大厦A座15字楼A4室,4.3,308.0,189.0
香港新迎宾馆(Sun Ying Hostel),地铁周边,香港,油尖旺,九龙旺角亚皆老街83号先施大厦617室,3.5,321.0,189.0
香港红茶馆酒店(鸭脷洲大街店)(Bridal Tea House Hotel (Ap Lei Chau Main Street)),浪漫情侣,香港,南区,港岛鸭脷洲大街95号,4.2,1203.0,377.0
香港乐仕酒店(Acesite Knutsford Hotel),浪漫情侣,香港,油尖旺,九龙尖沙咀天文台围8号,4.2,1879.0,237.0
香港新月宾馆(Sasa Inn),地铁周边,香港,九龙城,尖沙咀弥敦道87号华源大厦乘坐3号或4号电梯8楼C1,4.8,1247.0,486.0
香港广州宾馆(Hotel Guanzhou),地铁周边,香港,其他,旺角弥敦道737号金轮大厦9楼,3.9,571.0,287.0
香港龙群宾馆(Dragon Hostel),地铁周边,香港,油尖旺,九龙旺角亚皆老街83号先施大厦7楼707室,4.2,472.0,108.0
香港馨乐庭海景服务公寓(Citadines Harbourview Hong Kong),酒店公寓,香港,中西区,西营盘干诺道西138号,4.3,55.0,1394.0
香港伟溢商务宾馆(Wellyet Guest House),地铁周边,香港,油尖旺,九龙尖沙咀弥敦道58号美丽都大厦14层F3室,4.5,633.0,263.0
香港鹏达旅馆(铜锣湾)(Peng Da Guest House),老板热情,香港,湾仔,铜锣湾记利佐治街9号百德大厦D座13楼D2室（铜锣湾地铁E出口旁边大铁门进入）,4.4,48.0,385.0
香港铜锣湾投栈(家庭旅馆)(Move Inn),地铁周边,香港,湾仔,铜锣湾轩尼诗道417-421号海外大厦14楼419室,4.3,378.0,278.0
香港名都商务宾馆(Mingdu Business Hotel),地铁周边,香港,油尖旺,九龙旺角弥顿道607号新兴大厦26楼2601室,4.0,640.0,207.0
香港丽都宾馆(Ridor Guesthouse),地铁周边,香港,油尖旺,九龙尖沙咀弥敦道54-64B美丽都大厦10楼A9,4.1,32.0,252.0
香港宝轩酒店(中环)(The Bauhinia HotelCentral),商务出行,香港,中西区,干诺道中119-121号,4.5,513.0,513.0
香港美豪精品酒店(家庭旅馆)((MEI HAO BOUTIQUE HOTEL)(Hostel)),地铁周边,香港,油尖旺,香港九龙尖沙咀弥敦道58-62号美丽都大厦14楼E1室,4.3,1635.0,439.0
香港旺角新天地酒店(Mong Kok Sunny Day Hotel),浪漫情侣,香港,油尖旺,香港九龍旺角新填地街419號,4.3,784.0,949.0
香港金城宾馆(Gold City Hotel),地铁周边,香港,油尖旺,九龙油麻地弥敦道383-389号C平安大楼7字8楼5室,4.2,363.0,193.0
香港柏林商务宾馆(家庭旅馆)(Berlin Business Hotel),地铁周边,香港,油尖旺,亚皆老街83号先施大厦11楼1115室,4.2,353.0,241.0
香港新耀晖宾馆(Yiu Fai Guest House),地铁周边,香港,其他,尖沙咀弥敦道66-70号金冠大厦5字楼A室,4.6,33.0,237.0
香港K&B青年旅舍(K&B Hostel),青年旅舍,香港,油尖旺,九龙佐敦道15号华丰大厦13楼H室,4.0,123.0,348.0
香港上栈精品酒店(铜锣湾店)(家庭旅馆)(S HOTEL Causeway Bay HongKong),地铁周边,香港,湾仔,"铜锣湾利园山道70号凤鸣大厦二楼C,D室",4.4,246.0,465.0
香港泰山宾馆(加连威店)(HK TAI SAN GUEST HOUSE),地铁周边,香港,其他,九龙尖沙咀加连威老道12号加连威大厦8室,4.3,34.0,325.0
香港美林宾馆(Meilin Hotel),地铁周边,香港,油尖旺,尖沙嘴弥敦道54-64号美丽都大厦E座5F,4.3,393.0,237.0
香港湾仔八十八酒店(Wanchai 88 Hotel),商务出行,香港,湾仔,谭臣道139号,4.4,92.0,566.0
香港奥斯酒店(O‘ Hotel),其他,香港,九龙城,香港九龙土瓜湾九龙城道42-46号,3.7,869.0,369.0
香港恒丰宾馆(Hang Fung Hostel),地铁周边,香港,油尖旺,九龙佐敦弥敦道300号华丰大厦14楼A室,4.4,49.0,357.0
香港漫漫旅馆(AA INN),地铁周边,香港,其他,九龙尖沙咀弥敦道83-97号华源大厦9楼C3室,4.7,455.0,298.0
香港万达青年旅舍(Master Inn),地铁周边,香港,其他,香港油尖旺区九龙旺角亚皆老街83号先施大厦15字楼1507室,4.5,135.0,75.0
香港旺角金月宾馆家庭旅馆,地铁周边,香港,其他,旺角弥敦道607号新兴大厦2406单位,3.7,31.0,259.0
香港长洲B&B渡假旅馆(B&B Cheung Chau),环境不错,香港,其他,长洲东湾路83号,4.5,82.0,176.0
香港山蓝宾馆(Mountain Blue Hotel),地铁周边,香港,油尖旺,香港旺角亚皆老街83号先施大厦13楼,3.6,125.0,278.0
渔樵青年旅舍(香港油麻地店)(Travelholic Hostel),青年旅舍,香港,油尖旺,油麻地弥敦道454号安昌大厦8楼454室,4.7,232.0,150.0
香港安达宾馆(Anita Guest House),地铁周边,香港,油尖旺,九龙弥敦道603-609号新兴大厦23字楼2303室（东京银座楼上）,4.3,298.0,297.0
香港愉宿精致度假旅馆(Jolly Guesthouse),环境不错,香港,离岛,长洲中心里3号,4.4,156.0,413.0
香港海城宾馆(Ocean City Hotel),地铁周边,香港,油尖旺,九龙旺角通菜街女人街42号一楼(地铁站E2出),3.9,496.0,246.0
香港旺角M1酒店(M1 HOTEL MONG KOK),地铁周边,香港,油尖旺,九龙旺角通菜街123号,4.3,762.0,890.0
香港豪源酒店(Ho Yuen Hotel),地铁周边,香港,油尖旺,香港旺角奶路臣街11号远东发展旺角大厦11楼,3.2,79.0,333.0
香港韶兴宾馆(家庭旅馆)(SIU HING HOSTEL),地铁周边,香港,九龙城,佐敦道庙街230号韶兴大厦4字楼B座,4.5,15.0,297.0
香港经济型酒店  (家庭旅馆)(Hong Kong Budget Hostel),地铁周边,香港,油尖旺,"弥敦道36-44号重庆大厦10字楼D,E座D8& E2室",2.0,29.0,67.0
香港蓝山(柏豪)(宾馆)(Lamshan),地铁周边,香港,油尖旺,九龙旺角亚皆老街83号先施大厦13楼1306室,4.3,129.0,294.0
"巴黎旅馆(Paris Guest House (D2, 10/F))",其他,香港,其他,"Flat D2, 10/F, Block D, Chungking Mansion, 40 Nathan Road",2.0,5.0,67.0
香港馨乐庭亚士厘服务公寓(Citadines Ashley Hong Kong),酒店公寓,香港,油尖旺,尖沙咀亚士厘道18号,4.4,305.0,784.0
香港千悦宾馆(QIAN YUE INN),地铁周边,香港,油尖旺,香港九龙弥敦道300号右边华丰大厦电梯按3字楼G座,4.0,192.0,210.0
香港永盛行宾馆(Yongshenghang Motel),地铁周边,香港,油尖旺,九龙油麻地弥敦道385号平安大厦5字楼5室,4.2,964.0,198.0
香港晶亮宾馆(家庭旅馆)(Shining Hotel),地铁周边,香港,油尖旺,弥敦道83-97号华源大厦2字楼C3室,4.3,364.0,325.0
